Category,Situation (English),Situation (Korean),English Question,Korean Question,English Answer,Korean Answer
Restaurant,"You are at a restaurant and your food is taking too long.","당신은 식당에 있는데 음식이 너무 오래 걸리고 있습니다.","Why is my food taking so long?","내 음식이 왜 이렇게 오래 걸리나요?","The kitchen is busy, but your food will be ready soon.","주방이 바쁘지만, 곧 음식이 준비될 것입니다."
Directions,"You are lost in a new city and need directions.","당신은 새로운 도시에서 길을 잃었고 길 안내가 필요합니다.","How do I get to the nearest subway station?","가장 가까운 지하철역으로 어떻게 가나요?","Turn left at the next intersection and walk two blocks.","다음 교차로에서 좌회전하고 두 블록을 걸으세요."
Hotel,"You are at a hotel and need extra towels.","당신은 호텔에 있으며 추가 수건이 필요합니다.","Can I have extra towels, please?","추가 수건을 받을 수 있나요?","Sure, we will send some to your room right away.","물론이죠, 곧 객실로 보내드리겠습니다."
Transportation,"You missed your train and need to find the next one.","당신은 기차를 놓쳤고 다음 기차를 찾아야 합니다.","When is the next train to London?","다음 런던행 기차는 언제 있나요?","The next train to London is at 3:45 PM.","다음 런던행 기차는 오후 3시 45분입니다."
Shopping,"You are shopping and want to know if an item is on sale.","당신은 쇼핑 중이며 물건이 세일 중인지 알고 싶습니다.","Is this item on sale?","이 물건은 세일 중인가요?","Yes, it's 20% off today.","네, 오늘 20% 할인 중입니다."
Museum,"You are at a museum and want more information about an exhibit.","당신은 박물관에 있으며 전시물에 대한 추가 정보를 원합니다.","Can you tell me more about this exhibit?","이 전시물에 대해 더 자세히 설명해 주시겠어요?","This exhibit focuses on ancient Egyptian artifacts.","이 전시물은 고대 이집트 유물을 다루고 있습니다."
Flight,"You are trying to book a flight and need to know the baggage policy.","당신은 항공편을 예약하려고 하며 수하물 정책을 알고 싶습니다.","What is the baggage policy for this airline?","이 항공사의 수하물 정책은 무엇인가요?","You can check in one bag for free and carry on one personal item.","수하물 하나는 무료로 체크인할 수 있으며, 개인 소지품 하나는 기내 반입 가능합니다."
Parks,"You are at a park and want to know if dogs are allowed.","당신은 공원에 있으며 반려견 출입이 가능한지 알고 싶습니다.","Are dogs allowed in this park?","이 공원에 반려견 출입이 허용되나요?","Yes, but they must be on a leash at all times.","네, 하지만 항상 목줄을 착용해야 합니다."
Supermarket,"You are at a supermarket and want to know if a product is in stock.","당신은 슈퍼마켓에 있으며 상품이 재고 있는지 알고 싶습니다.","Do you have this product in stock?","이 상품이 재고에 있나요?","Sorry, we're out of stock at the moment, but we expect more next week.","죄송합니다, 현재 재고가 없지만 다음 주에 다시 입고될 예정입니다."
Movie Theater,"You are at a movie theater and want to know the next showtime.","당신은 영화관에 있으며 다음 상영 시간을 알고 싶습니다.","When is the next showtime for this movie?","이 영화의 다음 상영 시간은 언제인가요?","The next showtime is at 7:30 PM.","다음 상영 시간은 오후 7시 30분입니다."
Library,"You are at a library and need help finding a book.","당신은 도서관에 있으며 책을 찾는 데 도움이 필요합니다.","Can you help me find this book?","이 책을 찾는 데 도와주시겠어요?","Sure, it's located in the fiction section on the second floor.","물론이죠, 이 책은 2층 소설 코너에 있습니다."
Cafe,"You are at a cafe and want to know if they have free Wi-Fi.","당신은 카페에 있으며 무료 와이파이가 있는지 알고 싶습니다.","Do you have free Wi-Fi here?","여기 무료 와이파이가 있나요?","Yes, the password is on your receipt.","네, 비밀번호는 영수증에 적혀 있습니다."
Clothing Store,"You are at a clothing store and want to know if they offer a student discount.","당신은 의류 매장에 있으며 학생 할인이 있는지 알고 싶습니다.","Do you offer a student discount?","학생 할인이 있나요?","Yes, we offer a 10% discount with a valid student ID.","네, 유효한 학생증을 제시하면 10% 할인이 가능합니다."
Gas Station,"You are at a gas station and want to know if they accept credit cards.","당신은 주유소에 있으며 신용카드 사용이 가능한지 알고 싶습니다.","Do you accept credit cards here?","여기서 신용카드를 받나요?","Yes, we accept all major credit cards.","네, 주요 신용카드 모두 사용 가능합니다."
Pharmacy,"You are at a pharmacy and want to know if they have a specific medication.","당신은 약국에 있으며 특정 약품이 있는지 알고 싶습니다.","Do you have this medication in stock?","이 약이 재고에 있나요?","Yes, we have it in stock. Would you like to pick it up now?","네, 재고에 있습니다. 지금 가져가시겠어요?"
Gym,"You are at a gym and want to know if they offer personal training.","당신은 체육관에 있으며 개인 트레이닝이 있는지 알고 싶습니다.","Do you offer personal training sessions?","개인 트레이닝 세션이 있나요?","Yes, we have certified trainers available for one-on-one sessions.","네, 1대1 세션을 위한 인증된 트레이너가 있습니다."
Bank,"You are at a bank and want to know the current interest rate for savings accounts.","당신은 은행에 있으며 저축 계좌의 현재 이자율을 알고 싶습니다.","What is the current interest rate for savings accounts?","저축 계좌의 현재 이자율은 얼마인가요?","The current interest rate is 1.5% per year.","현재 이자율은 연 1.5%입니다."
Hardware Store,"You are at a hardware store and want to know if they offer delivery services.","당신은 철물점에 있으며 배달 서비스가 있는지 알고 싶습니다.","Do you offer delivery services?","배달 서비스가 있나요?","Yes, we can deliver your items within 48 hours.","네, 48시간 이내에 물품을 배달해 드립니다."
Tourist Information,"You are at a tourist information center and want to know about local attractions.","당신은 관광 안내소에 있으며 지역 명소에 대해 알고 싶습니다.","Can you recommend any local attractions?","지역 명소를 추천해 주시겠어요?","The nearby botanical gardens and historic district are very popular.","근처 식물원과 역사 지구가 매우 인기가 많습니다."
Bookstore,"You are at a bookstore and want to know if they can order a book for you.","당신은 서점에 있으며 책을 주문할 수 있는지 알고 싶습니다.","Can you order this book for me?","이 책을 주문해 주시겠어요?","Yes, we can order it and it should arrive within a week.","네, 주문할 수 있으며 일주일 내로 도착할 예정입니다."
Hotel,"You are at a hotel and want to request a late check-out.","당신은 호텔에 있으며 늦은 체크아웃을 요청하고 싶습니다.","Can I request a late check-out?","늦은 체크아웃을 요청할 수 있나요?","Yes, we can extend your check-out time to 2:00 PM.","네, 체크아웃 시간을 오후 2시까지 연장해 드리겠습니다."
Conference,"You are at a conference and want to know the Wi-Fi password.","당신은 회의에 있으며 와이파이 비밀번호를 알고 싶습니다.","What is the Wi-Fi password for this conference?","이 회의의 와이파이 비밀번호는 무엇인가요?","The Wi-Fi password is included in your welcome packet.","와이파이 비밀번호는 환영 패킷에 포함되어 있습니다."
Car Rental,"You are at a car rental office and want to know about insurance options.","당신은 렌터카 사무실에 있으며 보험 옵션에 대해 알고 싶습니다.","What insurance options are available for this rental?","이 렌트카에 대한 보험 옵션은 무엇인가요?","We offer basic and comprehensive insurance coverage.","기본 및 종합 보험 커버리지를 제공합니다."
Airport,"You are at an airport and want to know if your flight is on time.","당신은 공항에 있으며 비행기가 제시간에 출발하는지 알고 싶습니다.","Is my flight on time?","내 비행기가 제시간에 출발하나요?","Yes, your flight is on schedule.","네, 당신의 비행기는 예정대로 출발합니다."
Post Office,"You are at a post office and want to know how much it costs to send a package.","당신은 우체국에 있으며 소포 발송 비용을 알고 싶습니다.","How much does it cost to send a package?","소포 발송 비용은 얼마인가요?","It depends on the size and destination of the package.","소포의 크기와 목적지에 따라 다릅니다."
Restaurant,"You are at a restaurant and the menu is in a foreign language.","당신은 식당에 있으며 메뉴가 외국어로 되어 있습니다.","Can you help me translate the menu?","메뉴 번역을 도와주실 수 있나요?","Sure, I can explain the dishes for you.","물론이죠, 제가 요리를 설명해 드리겠습니다."
Directions,"You are at a gas station and need directions to the nearest highway.","당신은 주유소에 있으며 가장 가까운 고속도로 방향을 알고 싶습니다.","How do I get to the nearest highway?","가장 가까운 고속도로로 어떻게 가나요?","Take the next right and follow the signs for the highway.","다음 오른쪽에서 회전하고 고속도로 표지판을 따라가세요."
Hotel,"You are at a hotel and want to know the check-in time.","당신은 호텔에 있으며 체크인 시간을 알고 싶습니다.","What time is check-in?","체크인 시간은 언제인가요?","Check-in starts at 3:00 PM.","체크인은 오후 3시부터 가능합니다."
Transportation,"You are at a bus stop and want to know when the next bus arrives.","당신은 버스 정류장에 있으며 다음 버스 도착 시간을 알고 싶습니다.","When does the next bus arrive?","다음 버스는 언제 도착하나요?","The next bus arrives in 10 minutes.","다음 버스는 10분 후에 도착합니다."
Shopping,"You are in a clothing store and want to know if they have a different size.","당신은 의류 매장에 있으며 다른 사이즈가 있는지 알고 싶습니다.","Do you have this in a different size?","이것의 다른 사이즈가 있나요?","Let me check in the back for you.","뒤에서 확인해 보겠습니다."
Museum,"You are at an art museum and want to know if photography is allowed.","당신은 미술관에 있으며 사진 촬영이 가능한지 알고 싶습니다.","Is photography allowed in this museum?","이 박물관에서 사진 촬영이 가능한가요?","No, photography is not permitted in the galleries.","아니요, 갤러리에서는 사진 촬영이 금지되어 있습니다."
Flight,"You are at an airport and want to know the weight limit for checked luggage.","당신은 공항에 있으며 위탁 수하물의 무게 제한을 알고 싶습니다.","What is the weight limit for checked luggage?","위탁 수하물의 무게 제한은 얼마인가요?","The limit is 23 kilograms per bag.","가방당 23킬로그램이 제한입니다."
Parks,"You are at a park and want to know if there are picnic tables.","당신은 공원에 있으며 피크닉 테이블이 있는지 알고 싶습니다.","Are there picnic tables in this park?","이 공원에 피크닉 테이블이 있나요?","Yes, there are several near the main entrance.","네, 주 입구 근처에 여러 개가 있습니다."
Supermarket,"You are at a supermarket and want to know if they sell organic products.","당신은 슈퍼마켓에 있으며 유기농 제품이 있는지 알고 싶습니다.","Do you sell organic products here?","여기 유기농 제품을 판매하나요?","Yes, we have a section dedicated to organic products.","네, 유기농 제품 전용 코너가 있습니다."
Movie Theater,"You are at a movie theater and want to know if there are any 3D showings.","당신은 영화관에 있으며 3D 상영이 있는지 알고 싶습니다.","Do you have any 3D showings for this movie?","이 영화에 3D 상영이 있나요?","Yes, the 3D showtime is at 8:00 PM.","네, 3D 상영은 오후 8시에 있습니다."
Library,"You are at a library and want to know if they have e-books available.","당신은 도서관에 있으며 전자책이 있는지 알고 싶습니다.","Do you offer e-books at this library?","이 도서관에서 전자책을 제공하나요?","Yes, you can access e-books through our online portal.","네, 온라인 포털을 통해 전자책을 이용할 수 있습니다."
Cafe,"You are at a cafe and want to know if they have soy milk.","당신은 카페에 있으며 두유가 있는지 알고 싶습니다.","Do you have soy milk?","두유가 있나요?","Yes, we have soy and almond milk options.","네, 두유와 아몬드 밀크 옵션이 있습니다."
Clothing Store,"You are in a clothing store and want to know if they offer free alterations.","당신은 의류 매장에 있으며 무료 수선이 가능한지 알고 싶습니다.","Do you offer free alterations?","무료 수선 서비스를 제공하나요?","Yes, we offer free alterations on full-priced items.","네, 정가 상품에 한해 무료 수선이 가능합니다."
Gas Station,"You are at a gas station and want to know if they have air for tires.","당신은 주유소에 있으며 타이어 공기가 있는지 알고 싶습니다.","Do you have air for tires here?","여기서 타이어 공기를 넣을 수 있나요?","Yes, the air pump is located near the exit.","네, 공기 펌프는 출구 근처에 있습니다."
Pharmacy,"You are at a pharmacy and want to know if they carry over-the-counter pain relievers.","당신은 약국에 있으며 일반 진통제를 판매하는지 알고 싶습니다.","Do you sell over-the-counter pain relievers?","일반 진통제를 판매하나요?","Yes, they are in aisle 4.","네, 4번 통로에 있습니다."
Gym,"You are at a gym and want to know the cost of a membership.","당신은 체육관에 있으며 멤버십 비용을 알고 싶습니다.","How much is a gym membership?","체육관 멤버십은 얼마인가요?","A monthly membership is $50, and we offer discounts for annual plans.","월 멤버십은 50달러이며, 연간 플랜에는 할인이 적용됩니다."
Bank,"You are at a bank and want to know how to open a checking account.","당신은 은행에 있으며 당좌 계좌를 개설하는 방법을 알고 싶습니다.","How do I open a checking account?","당좌 계좌를 어떻게 개설하나요?","You need to provide identification and a minimum deposit of $100.","신분증과 최소 100달러의 예치금이 필요합니다."
Hardware Store,"You are at a hardware store and want to know if they cut keys.","당신은 철물점에 있으며 열쇠를 복사할 수 있는지 알고 싶습니다.","Do you cut keys here?","여기서 열쇠 복사를 하나요?","Yes, we offer key cutting services in the back.","네, 뒤쪽에서 열쇠 복사 서비스를 제공합니다."
Tourist Information,"You are at a tourist information center and want to know if there are city tours available.","당신은 관광 안내소에 있으며 시티 투어가 있는지 알고 싶습니다.","Are there city tours available?","시티 투어가 있나요?","Yes, there are guided tours every day at 10 AM and 2 PM.","네, 매일 오전 10시와 오후 2시에 가이드 투어가 있습니다."
Bookstore,"You are at a bookstore and want to know if they sell notebooks.","당신은 서점에 있으며 노트북을 판매하는지 알고 싶습니다.","Do you sell notebooks here?","여기서 노트북을 판매하나요?","Yes, we have a stationery section near the entrance.","네, 입구 근처에 문구류 코너가 있습니다."
Hotel,"You are at a hotel and want to know if they have room service.","당신은 호텔에 있으며 룸서비스가 있는지 알고 싶습니다.","Do you offer room service?","룸서비스가 있나요?","Yes, room service is available 24 hours a day.","네, 룸서비스는 24시간 제공됩니다."
Conference,"You are at a conference and want to know where the registration desk is.","당신은 회의에 있으며 등록 데스크가 어디에 있는지 알고 싶습니다.","Where is the registration desk?","등록 데스크는 어디에 있나요?","The registration desk is in the main lobby.","등록 데스크는 메인 로비에 있습니다."
Car Rental,"You are at a car rental office and want to know if they offer GPS systems with rentals.","당신은 렌터카 사무실에 있으며 GPS 시스템이 렌터카에 포함되는지 알고 싶습니다.","Do you offer GPS with the rental cars?","렌터카에 GPS가 포함되나요?","Yes, GPS systems are available for an additional fee.","네, GPS 시스템은 추가 요금으로 이용 가능합니다."
Airport,"You are at an airport and want to know if there is free Wi-Fi.","당신은 공항에 있으며 무료 와이파이가 있는지 알고 싶습니다.","Is there free Wi-Fi at this airport?","이 공항에 무료 와이파이가 있나요?","Yes, free Wi-Fi is available throughout the terminal.","네, 터미널 전역에서 무료 와이파이를 이용할 수 있습니다."
Post Office,"You are at a post office and want to know if they sell postage stamps.","당신은 우체국에 있으며 우표를 판매하는지 알고 싶습니다.","Do you sell postage stamps?","우표를 판매하나요?","Yes, we sell stamps at the counter and in vending machines.","네, 카운터와 자동판매기에서 우표를 판매합니다."
Restaurant,"You are at a restaurant and want to know if they offer outdoor seating.","당신은 식당에 있으며 야외 좌석이 있는지 알고 싶습니다.","Do you have outdoor seating?","야외 좌석이 있나요?","Yes, we have a patio for outdoor dining.","네, 야외에서 식사할 수 있는 테라스가 있습니다."
Directions,"You are at a train station and want to know which platform your train departs from.","당신은 기차역에 있으며 기차가 출발하는 플랫폼을 알고 싶습니다.","Which platform does my train leave from?","내 기차는 어느 플랫폼에서 출발하나요?","Your train departs from platform 3.","기차는 3번 플랫폼에서 출발합니다."
Hotel,"You are at a hotel and want to know if they have a swimming pool.","당신은 호텔에 있으며 수영장이 있는지 알고 싶습니다.","Is there a swimming pool in the hotel?","호텔에 수영장이 있나요?","Yes, the pool is located on the rooftop.","네, 수영장은 옥상에 있습니다."
Transportation,"You are at a bus station and want to know if the buses run late at night.","당신은 버스 정류장에 있으며 늦은 밤에도 버스가 운행되는지 알고 싶습니다.","Do the buses run late at night?","버스는 늦은 밤에도 운행하나요?","Yes, the buses run until midnight.","네, 버스는 자정까지 운행됩니다."
Shopping,"You are at a mall and want to know if they offer valet parking.","당신은 쇼핑몰에 있으며 발렛 파킹을 제공하는지 알고 싶습니다.","Do you offer valet parking?","발렛 파킹 서비스를 제공하나요?","Yes, valet parking is available at the main entrance.","네, 발렛 파킹은 주 입구에서 이용 가능합니다."
Museum,"You are at a history museum and want to know if they offer audio guides.","당신은 역사 박물관에 있으며 오디오 가이드를 제공하는지 알고 싶습니다.","Do you have audio guides?","오디오 가이드를 제공하나요?","Yes, audio guides are available in several languages.","네, 여러 언어로 된 오디오 가이드를 제공합니다."
Flight,"You are at an airport and want to know if they offer in-flight meals.","당신은 공항에 있으며 기내식이 제공되는지 알고 싶습니다.","Are there in-flight meals?","기내식이 제공되나요?","Yes, complimentary meals are served on long-haul flights.","네, 장거리 항공편에서는 기내식이 무료로 제공됩니다."
Parks,"You are at a park and want to know if there are hiking trails.","당신은 공원에 있으며 하이킹 코스가 있는지 알고 싶습니다.","Are there hiking trails here?","여기 하이킹 코스가 있나요?","Yes, there are several trails marked on the park map.","네, 공원 지도에 표시된 여러 하이킹 코스가 있습니다."
Supermarket,"You are at a supermarket and want to know if they accept digital payments.","당신은 슈퍼마켓에 있으며 디지털 결제가 가능한지 알고 싶습니다.","Do you accept digital payments?","디지털 결제가 가능한가요?","Yes, we accept Apple Pay and Google Pay.","네, 애플 페이와 구글 페이를 받습니다."
Movie Theater,"You are at a movie theater and want to know if they sell popcorn.","당신은 영화관에 있으며 팝콘을 판매하는지 알고 싶습니다.","Do you sell popcorn here?","여기에서 팝콘을 판매하나요?","Yes, we have a concession stand with popcorn, drinks, and candy.","네, 팝콘, 음료수, 캔디를 파는 매점이 있습니다."
Library,"You are at a library and want to know if they have quiet study rooms.","당신은 도서관에 있으며 조용한 공부방이 있는지 알고 싶습니다.","Do you have quiet study rooms?","조용한 공부방이 있나요?","Yes, you can reserve a study room at the front desk.","네, 프론트 데스크에서 공부방을 예약할 수 있습니다."
Cafe,"You are at a cafe and want to know if they offer refills on coffee.","당신은 카페에 있으며 커피 리필이 가능한지 알고 싶습니다.","Do you offer free coffee refills?","커피 리필이 무료인가요?","Yes, refills are free on brewed coffee.","네, 드립 커피는 무료로 리필됩니다."
Clothing Store,"You are at a clothing store and want to know if they offer personal shopping services.","당신은 의류 매장에 있으며 개인 쇼핑 서비스를 제공하는지 알고 싶습니다.","Do you offer personal shopping services?","개인 쇼핑 서비스를 제공하나요?","Yes, we have personal shoppers available by appointment.","네, 예약을 통해 개인 쇼핑 서비스를 이용할 수 있습니다."
Gas Station,"You are at a gas station and want to know if they offer premium fuel.","당신은 주유소에 있으며 고급 연료를 제공하는지 알고 싶습니다.","Do you offer premium fuel?","고급 연료를 제공하나요?","Yes, we offer regular, mid-grade, and premium fuel options.","네, 일반, 중간, 고급 연료 옵션을 제공합니다."
Pharmacy,"You are at a pharmacy and want to know if they sell first aid kits.","당신은 약국에 있으며 구급 상자를 판매하는지 알고 싶습니다.","Do you sell first aid kits?","구급 상자를 판매하나요?","Yes, first aid kits are available in aisle 5.","네, 5번 통로에서 구급 상자를 구매할 수 있습니다."
